"customer_id","customer_name","customer_segment","order_id","order_date","shipping_city","shipping_state","shipping_country","shipping_region","shipping_postal_code","shipping_mode","shipping_date","order_details_id","quantity","order_discount","order_profits","order_profit_ratio","order_sales","product_id","product_name","product_category","product_subcategory","product_manufacturer"
"79","Ben Peterman","Corporate","CA-2017-142902","2017-09-12 00:00:00","Arvada","Colorado","United States","West","80004","Second Class","2017-09-14 00:00:00","4742","1","0.2","2","0.11","15","566","Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","Furniture","Furnishings","Eldon"
"486","Maria Bertelson","Consumer","CA-2015-151708","2015-08-08 00:00:00","Glendale","Arizona","United States","West","85301","Standard Class","2015-08-14 00:00:00","1249","3","0.2","-11","-0.11","96","1410","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card","Technology","Accessories","SanDisk"
"721","Sue Ann Reed","Consumer","CA-2018-127264","2018-04-03 00:00:00","Chicago","Illinois","United States","Central","60653","First Class","2018-04-05 00:00:00","6697","3","0.2","2","0.31","7","1304","Prang Colored Pencils","Office Supplies","Art","Prang"
"560","Nathan Cano","Consumer","CA-2017-156503","2017-10-14 00:00:00","Jacksonville","North Carolina","United States","South","28540","Standard Class","2017-10-20 00:00:00","5146","3","0.2","34","0.36","93","1740","Xerox 1944","Office Supplies","Paper","Xerox"
"158","Christopher Martinez","Consumer","CA-2016-145352","2016-03-16 00:00:00","Atlanta","Georgia","United States","South","30318","Standard Class","2016-03-22 00:00:00","2908","3","0","2","0.26","8","1161","Newell 344","Office Supplies","Art","Newell"
"337","Irene Maddox","Consumer","CA-2017-140501","2017-06-23 00:00:00","New York City","New York","United States","East","10009","Standard Class","2017-06-28 00:00:00","4679","3","0","69","0.47","147","1575","Tops White Computer Printout Paper","Office Supplies","Paper","TOPS"
"76","Becky Martin","Consumer","CA-2017-126004","2017-12-04 00:00:00","New York City","New York","United States","East","10024","First Class","2017-12-05 00:00:00","4236","4","0","20","0.49","41","538","Easy-staple paper","Office Supplies","Paper","Easy-staple paper"
"489","Maribeth Dona","Consumer","CA-2015-114251","2015-11-05 00:00:00","Philadelphia","Pennsylvania","United States","East","19143","Standard Class","2015-11-10 00:00:00","376","2","0.2","17","0.29","58","1078","Memorex Micro Travel Drive 32 GB","Technology","Accessories","Memorex"
"227","Denny Joy","Corporate","CA-2017-123540","2017-04-02 00:00:00","Milwaukee","Wisconsin","United States","Central","53209","Second Class","2017-04-06 00:00:00","4160","5","0","378","0.26","1455","752","Global Executive Mid-Back Manager's Chair","Furniture","Chairs","Global"
"276","Eva Jacobs","Consumer","CA-2017-142594","2017-12-01 00:00:00","Franklin","Massachusetts","United States","East","2038","Second Class","2017-12-06 00:00:00","4733","3","0","36","0.26","138","945","Jensen SMPS-640 - speaker phone","Technology","Phones","Other"
"381","Joe Kamberova","Consumer","CA-2018-155936","2018-06-22 00:00:00","Chicago","Illinois","United States","Central","60653","Standard Class","2018-06-29 00:00:00","7789","3","0.8","-5","-1.65","3","1650","Wilson Jones Standard D-Ring Binders","Office Supplies","Binders","Wilson Jones"
"73","Bart Pistole","Corporate","CA-2018-135377","2018-12-13 00:00:00","New York City","New York","United States","East","10024","Standard Class","2018-12-18 00:00:00","7032","3","0.2","7","0.02","288","379","Bush Andora Bookcase, Maple/Graphite Gray Finish","Furniture","Bookcases","Bush"
"314","Guy Armstrong","Consumer","CA-2018-114636","2018-08-25 00:00:00","Charlotte","North Carolina","United States","South","28205","Standard Class","2018-08-29 00:00:00","6173","5","0.2","67","0.35","192","1703","Xerox 1910","Office Supplies","Paper","Xerox"
"284","Frank Hawley","Corporate","CA-2018-128370","2018-09-10 00:00:00","Los Angeles","California","United States","West","90004","Same Day","2018-09-10 00:00:00","6755","2","0.2","2","0.31","7","260","Avery Non-Stick Binders","Office Supplies","Binders","Avery"
"250","Edward Hooks","Corporate","CA-2015-138450","2015-10-18 00:00:00","Philadelphia","Pennsylvania","United States","East","19134","Standard Class","2015-10-22 00:00:00","965","6","0.2","-35","-0.19","187","557","Eldon Base for stackable storage shelf, platinum","Office Supplies","Storage","Eldon"
"512","Maureen Gnade","Consumer","CA-2015-139598","2015-12-26 00:00:00","Philadelphia","Pennsylvania","United States","East","19134","Standard Class","2015-12-31 00:00:00","988","3","0.2","6","0.34","18","1661","Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page","Office Supplies","Paper","Wirebound"
"158","Christopher Martinez","Consumer","CA-2016-145352","2016-03-16 00:00:00","Atlanta","Georgia","United States","South","30318","Standard Class","2016-03-22 00:00:00","2909","3","0","12","0.25","47","1267","Personal File Boxes with Fold-Down Carry Handle","Office Supplies","Storage","Other"
"103","Brenda Bowman","Corporate","US-2018-118941","2018-08-12 00:00:00","Columbia","Maryland","United States","East","21044","Same Day","2018-08-12 00:00:00","9614","5","0","374","0.21","1780","826","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","Furniture","Chairs","Hon"
"110","Brian Moss","Corporate","CA-2015-165379","2015-07-09 00:00:00","Dallas","Texas","United States","Central","75217","Standard Class","2015-07-15 00:00:00","1553","3","0.2","4","0.31","14","1686","Xerox 1895","Office Supplies","Paper","Xerox"
"342","Jack O'Briant","Corporate","US-2018-168802","2018-11-03 00:00:00","Seattle","Washington","United States","West","98103","Standard Class","2018-11-07 00:00:00","9993","4","0.2","6","0.33","18","327","Binder Posts","Office Supplies","Binders","Other"
"583","Pamela Stobb","Consumer","CA-2018-128965","2018-04-17 00:00:00","Los Angeles","California","United States","West","90008","Standard Class","2018-04-22 00:00:00","6776","8","0","11","0.49","23","181","Avery 474","Office Supplies","Labels","Avery"
"552","Muhammed Yedwab","Corporate","CA-2015-105984","2015-11-24 00:00:00","Columbus","Ohio","United States","East","43229","Same Day","2015-11-24 00:00:00","180","3","0.3","-35","-0.06","611","752","Global Executive Mid-Back Manager's Chair","Furniture","Chairs","Global"
"713","Steve Nguyen","Home Office","CA-2017-119963","2017-11-18 00:00:00","Pasadena","Texas","United States","Central","77506","Standard Class","2017-11-22 00:00:00","4070","2","0.2","16","0.33","49","179","Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","Office Supplies","Labels","Avery"
